x	y	z	g
305	235	235	13.76323448
310	235	235	15.13955793
130	250	90	17.2040431
295	195	95	19.26852828
125	250	90	19.26852828
180	175	165	19.95669
150	180	150	19.95669
290	195	95	20.64485172
195	175	160	20.64485172
440	185	235	21.33301345
245	175	40	22.02117517
320	230	215	22.02117517
125	250	85	22.02117517
310	225	195	22.70933689
315	240	240	23.39749862
120	250	90	24.08566034
160	180	155	25.46198379
155	180	155	26.15014551
315	230	210	26.83830724
285	195	95	27.52646896
315	240	250	27.52646896
300	195	95	28.21463069
440	185	225	28.21463069
310	230	210	28.21463069
315	240	255	28.90279242
320	240	240	28.90279242
190	175	160	29.59095415
435	230	270	30.27911587
435	180	210	30.27911587
320	235	230	30.27911587
310	235	225	30.27911587
300	230	210	30.27911587
425	245	100	30.27911587
315	240	245	30.9672776
320	240	245	30.9672776
315	235	235	30.9672776
140	215	30	30.9672776
190	175	175	31.65543929
305	235	230	31.65543929
315	230	215	31.65543929
150	230	90	31.65543929
125	245	75	31.65543929
125	220	50	31.65543929
185	175	165	32.34360102
195	175	175	33.03176275
430	230	270	33.03176275
435	185	230	33.03176275
420	245	100	33.03176275
445	190	245	33.71992447
315	235	225	33.71992447
300	200	110	34.4080862
190	185	190	34.4080862
440	185	230	34.4080862
410	255	105	34.4080862
445	190	250	35.09624792
320	235	225	35.09624792
305	230	215	35.09624792
300	230	215	35.78440965
305	230	195	35.78440965
120	250	80	35.78440965
450	190	250	36.47257137
435	185	235	36.47257137
320	240	255	36.47257137
120	250	85	36.47257137
115	250	80	36.47257137
100	225	70	36.47257137
305	235	225	37.1607331
325	235	225	37.1607331
347	200	218	37.1607331
310	240	255	37.84889482
440	190	245	38.53705655
435	185	225	38.53705655
295	200	110	39.22521828
155	180	150	39.22521828
435	190	240	39.22521828
290	255	180	39.22521828
115	250	90	39.22521828
342	200	218	39.22521828
305	200	110	39.91338
240	205	40	39.91338
430	180	210	40.60154173
325	240	245	40.60154173
325	235	230	40.60154173
80	220	45	40.60154173
425	195	255	41.28970345
435	180	215	41.28970345
305	230	210	41.28970345
315	235	230	41.97786518
310	230	200	41.97786518
200	175	190	42.6660269
210	210	175	42.6660269
430	230	275	42.6660269
310	230	215	42.6660269
305	225	195	42.6660269
125	235	90	42.6660269
325	190	90	43.35418863
195	175	190	43.35418863
440	190	250	43.35418863
425	180	215	43.35418863
290	225	195	43.35418863
300	225	195	43.35418863
200	180	190	44.04235035
130	220	55	44.04235035
190	180	190	44.73051205
165	180	155	44.73051205
450	190	245	44.73051205
430	185	230	44.73051205
430	185	225	44.73051205
320	240	250	44.73051205
305	260	195	44.73051205
352	200	218	44.73051205
430	195	255	45.41867378
420	180	210	45.41867378
120	245	75	45.41867378
120	245	70	45.41867378
130	220	50	45.41867378
220	195	185	46.1068355
435	190	245	46.1068355
305	230	200	46.1068355
425	250	90	46.1068355
215	195	185	46.79499723
180	180	180	46.79499723
185	175	160	46.79499723
160	180	150	46.79499723
310	235	230	46.79499723
337	200	218	46.79499723
420	230	250	47.48315895
440	190	240	47.48315895
450	190	240	47.48315895
260	145	260	47.48315895
430	245	70	47.48315895
190	190	195	48.17132068
195	180	190	48.17132068
190	175	190	48.17132068
405	220	200	48.17132068
315	225	195	48.17132068
115	250	85	48.17132068
145	225	55	48.17132068
215	225	195	48.85948241
170	180	150	48.85948241
165	220	70	48.85948241
300	190	80	49.54764413
215	190	170	49.54764413
435	230	275	49.54764413
375	255	265	49.54764413
