x	y	z	g
285	185	240	0.017396212
280	185	240	0.019135833
480	250	184	0.021745265
475	250	184	0.024354697
455	195	164	0.024354697
300	180	225	0.025224508
475	200	275	0.025224508
450	195	164	0.026094318
490	200	270	0.026094318
290	185	240	0.026964129
270	180	220	0.027833939
285	175	185	0.027833939
475	250	179	0.027833939
280	175	200	0.02870375
445	200	204	0.02870375
275	190	245	0.029573561
190	150	91	0.030443371
440	200	204	0.030443371
470	250	184	0.030443371
455	205	265	0.032182993
195	150	91	0.033052803
305	180	230	0.033052803
455	275	285	0.033052803
340	180	275	0.033922614
275	180	215	0.033922614
455	130	205	0.034792424
425	135	190	0.034792424
300	195	95	0.035662235
290	185	230	0.035662235
280	180	215	0.035662235
200	150	101	0.036532046
455	130	210	0.036532046
450	130	195	0.036532046
485	200	270	0.037401856
460	275	285	0.037401856
295	230	275	0.038271667
270	185	235	0.038271667
280	185	230	0.038271667
295	180	215	0.038271667
290	180	215	0.038271667
510	295	210	0.038271667
275	185	240	0.039141477
470	215	125	0.039141477
455	130	200	0.039141477
450	130	200	0.039141477
340	230	115	0.040011288
315	245	100	0.040011288
285	185	235	0.040011288
275	180	220	0.040011288
485	200	285	0.040011288
450	200	204	0.040881099
480	200	275	0.040881099
300	230	275	0.041750909
295	185	235	0.041750909
490	200	285	0.041750909
515	295	210	0.041750909
285	190	250	0.04262072
275	185	230	0.04262072
195	155	86	0.04349053
290	185	235	0.04349053
460	200	179	0.04349053
465	275	285	0.04349053
525	305	215	0.04349053
285	190	255	0.044360341
270	185	230	0.044360341
285	180	220	0.044360341
220	150	101	0.045230152
290	180	220	0.045230152
285	180	200	0.045230152
470	250	174	0.045230152
295	185	240	0.046099962
470	250	179	0.046099962
465	250	174	0.046099962
450	225	164	0.046099962
495	200	305	0.046099962
450	130	210	0.046099962
460	130	205	0.046099962
350	200	105	0.046969773
285	185	230	0.046969773
265	185	230	0.046969773
460	130	210	0.047839583
290	190	250	0.048709394
295	185	230	0.048709394
510	280	220	0.048709394
355	200	105	0.049579205
295	190	245	0.049579205
305	180	225	0.049579205
465	250	184	0.049579205
455	200	179	0.049579205
445	230	220	0.049579205
190	160	96	0.050449015
290	205	185	0.050449015
465	200	179	0.050449015
300	180	215	0.051318826
260	220	215	0.051318826
445	130	200	0.051318826
445	125	185	0.051318826
190	160	101	0.052188637
305	195	260	0.052188637
295	180	220	0.052188637
285	180	215	0.052188637
275	185	235	0.053058447
280	180	205	0.053058447
215	180	71	0.053928258
300	230	280	0.053928258
280	180	220	0.053928258
285	175	200	0.053928258
450	245	204	0.053928258
475	235	184	0.053928258
495	200	300	0.053928258
325	190	90	0.054798068
200	150	96	0.054798068
290	190	255	0.054798068
300	175	200	0.054798068
290	175	200	0.054798068
455	200	204	0.054798068
490	200	300	0.054798068
450	205	255	0.054798068
515	280	220	0.054798068
320	220	80	0.055667879
205	150	86	0.055667879
455	245	204	0.055667879
445	195	194	0.055667879
385	255	290	0.055667879
345	200	105	0.05653769
185	155	91	0.05653769
195	150	86	0.05653769
300	185	235	0.05653769
300	185	230	0.05653769
285	210	200	0.05653769
460	205	265	0.05653769
405	235	290	0.05653769
450	130	205	0.05653769
460	130	200	0.05653769
310	245	100	0.0574075
310	245	95	0.0574075
300	195	260	0.0574075
450	195	194	0.0574075
455	205	250	0.0574075
195	160	101	0.058277311
225	165	81	0.058277311
295	190	250	0.058277311
285	180	205	0.058277311
510	300	200	0.058277311
360	200	105	0.059147121
220	165	81	0.059147121
280	185	235	0.059147121
310	180	225	0.059147121
475	205	290	0.059147121
480	200	270	0.059147121
335	195	90	0.060016932
205	155	96	0.060016932
290	190	245	0.060016932
280	190	245	0.060016932
405	240	295	0.060016932
525	290	210	0.060016932
495	280	190	0.060016932
505	295	180	0.060016932
335	225	80	0.060886743
195	160	91	0.060886743
200	150	86	0.060886743
180	190	26	0.060886743
275	175	200	0.060886743
465	250	179	0.060886743
485	200	300	0.060886743
520	290	205	0.060886743
355	220	95	0.061756553
435	195	199	0.061756553
465	205	260	0.061756553
400	235	290	0.061756553
470	135	230	0.061756553
300	190	80	0.062626364
295	230	280	0.062626364
450	215	214	0.062626364
475	205	194	0.062626364
510	215	280	0.062626364
470	275	285	0.062626364
445	130	210	0.062626364
355	225	110	0.063496174
190	155	86	0.063496174
300	190	245	0.063496174
315	180	225	0.063496174
280	175	205	0.063496174
435	200	204	0.063496174
450	200	179	0.063496174
515	205	310	0.063496174
530	290	210	0.063496174
505	290	185	0.063496174
335	230	115	0.064365985
340	200	105	0.064365985
305	245	95	0.064365985
350	220	95	0.064365985
200	155	96	0.064365985
305	190	245	0.064365985
290	180	200	0.064365985
465	215	125	0.064365985
505	300	200	0.064365985
305	245	100	0.065235796
215	165	81	0.065235796
170	200	66	0.065235796
175	190	26	0.065235796
270	180	215	0.065235796
510	200	300	0.065235796
505	200	300	0.065235796
510	200	295	0.065235796
485	200	290	0.065235796
320	190	85	0.066105606
210	180	71	0.066105606
285	205	185	0.066105606
470	200	270	0.066105606
465	205	270	0.066105606
465	205	250	0.066105606
400	235	300	0.066105606
400	240	295	0.066105606
520	295	210	0.066105606
220	165	71	0.066975417
290	220	230	0.066975417
430	200	204	0.066975417
485	235	189	0.066975417
480	235	184	0.066975417
490	240	184	0.066975417
505	200	295	0.066975417
520	290	210	0.066975417
365	200	110	0.067845227
320	230	105	0.067845227
320	190	90	0.067845227
370	195	90	0.067845227
330	225	80	0.067845227
330	190	275	0.067845227
280	180	200	0.067845227
500	230	199	0.067845227
435	230	189	0.067845227
465	195	179	0.067845227
500	200	300	0.067845227
385	250	295	0.067845227
510	295	180	0.067845227
460	135	215	0.067845227
325	190	85	0.068715038
180	205	51	0.068715038
320	200	285	0.068715038
465	215	189	0.068715038
515	215	280	0.068715038
470	135	215	0.068715038
325	195	100	0.069584849
440	195	199	0.069584849
450	225	169	0.069584849
475	205	275	0.069584849
365	195	90	0.070454659
230	165	81	0.070454659
165	200	71	0.070454659
205	195	56	0.070454659
285	190	245	0.070454659
440	225	174	0.070454659
490	205	295	0.070454659
475	135	215	0.070454659
465	130	210	0.070454659
365	200	105	0.07132447
220	195	86	0.07132447
480	200	285	0.07132447
485	200	280	0.07132447
465	305	250	0.07132447
215	165	76	0.072194281
440	230	189	0.072194281
400	240	300	0.072194281
235	155	86	0.073064091
180	190	51	0.073064091
300	180	220	0.073064091
275	175	205	0.073064091
490	200	305	0.073064091
460	205	270	0.073064091
470	205	260	0.073064091
440	130	210	0.073064091
295	225	95	0.073933902
165	195	41	0.073933902
295	190	255	0.073933902
295	175	200	0.073933902
440	195	194	0.073933902
470	205	194	0.073933902
395	240	300	0.073933902
305	195	95	0.074803712
355	195	90	0.074803712
205	150	101	0.074803712
175	160	91	0.074803712
465	200	199	0.074803712
450	240	194	0.074803712
490	200	290	0.074803712
460	210	265	0.074803712
505	300	195	0.074803712
350	225	110	0.075673523
220	175	46	0.075673523
500	200	305	0.075673523
475	205	260	0.075673523
505	295	210	0.075673523
470	135	210	0.075673523
340	195	130	0.076543334
340	190	90	0.076543334
210	150	96	0.076543334
200	150	91	0.076543334
220	180	76	0.076543334
210	195	56	0.076543334
310	195	260	0.076543334
325	190	255	0.076543334
285	220	230	0.076543334
285	175	190	0.076543334
280	180	190	0.076543334
435	195	194	0.076543334
470	195	179	0.076543334
485	205	295	0.076543334
465	205	265	0.076543334
495	280	195	0.076543334
195	160	96	0.077413144
300	185	240	0.077413144
280	205	185	0.077413144
465	210	280	0.077413144
465	205	275	0.077413144
475	200	270	0.077413144
455	205	255	0.077413144
380	255	290	0.077413144
520	305	215	0.077413144
495	290	195	0.077413144
495	280	180	0.077413144
445	130	225	0.077413144
315	190	90	0.078282955
345	220	90	0.078282955
185	155	86	0.078282955
170	200	71	0.078282955
305	230	275	0.078282955
305	230	260	0.078282955
295	195	260	0.078282955
300	225	255	0.078282955
275	180	200	0.078282955
445	210	199	0.078282955
505	230	199	0.078282955
465	200	194	0.078282955
490	240	194	0.078282955
445	225	174	0.078282955
475	205	270	0.078282955
405	230	300	0.078282955
510	295	185	0.078282955
315	230	105	0.079152765
340	225	85	0.079152765
330	195	285	0.079152765
305	240	260	0.079152765
470	200	194	0.079152765
490	235	189	0.079152765
465	195	184	0.079152765
470	235	184	0.079152765
445	225	164	0.079152765
470	210	280	0.079152765
470	205	250	0.079152765
460	205	250	0.079152765
465	135	215	0.079152765
350	225	105	0.080022576
310	200	85	0.080022576
190	160	91	0.080022576
210	185	86	0.080022576
200	155	86	0.080022576
295	225	250	0.080022576
435	195	204	0.080022576
465	220	204	0.080022576
470	215	189	0.080022576
470	240	184	0.080022576
435	135	190	0.080022576
345	195	90	0.080892387
210	155	101	0.080892387
200	155	101	0.080892387
205	180	71	0.080892387
170	195	41	0.080892387
200	185	31	0.080892387
330	195	275	0.080892387
300	190	250	0.080892387
305	180	215	0.080892387
445	215	214	0.080892387
480	235	199	0.080892387
495	200	310	0.080892387
445	280	275	0.080892387
400	235	305	0.080892387
500	305	195	0.080892387
485	295	190	0.080892387
480	140	235	0.080892387
440	155	180	0.080892387
315	200	85	0.081762197
185	160	91	0.081762197
305	190	255	0.081762197
255	220	215	0.081762197
490	205	290	0.081762197
450	275	280	0.081762197
520	285	225	0.081762197
215	150	101	0.082632008
460	245	169	0.082632008
480	200	290	0.082632008
455	210	265	0.082632008
405	235	285	0.082632008
345	225	110	0.083501818
350	220	90	0.083501818
195	155	101	0.083501818
170	195	66	0.083501818
275	220	225	0.083501818
285	180	190	0.083501818
385	245	280	0.083501818
475	220	140	0.083501818
505	295	205	0.083501818
515	295	185	0.083501818
510	290	185	0.083501818
345	220	95	0.084371629
325	195	90	0.084371629
220	170	96	0.084371629
230	155	86	0.084371629
265	220	215	0.084371629
440	200	199	0.084371629
490	235	199	0.084371629
500	200	295	0.084371629
470	210	265	0.084371629
340	225	105	0.08524144
335	190	90	0.08524144
340	195	90	0.08524144
315	220	80	0.08524144
225	190	96	0.08524144
200	200	66	0.08524144
175	190	46	0.08524144
295	180	200	0.08524144
475	240	184	0.08524144
485	205	290	0.08524144
470	305	250	0.08524144
440	135	225	0.08524144
420	135	185	0.08524144
305	205	100	0.08611125
315	230	100	0.08611125
325	220	80	0.08611125
215	150	96	0.08611125
215	155	96	0.08611125
225	150	91	0.08611125
180	195	66	0.08611125
200	190	61	0.08611125
205	185	31	0.08611125
335	195	285	0.08611125
290	230	275	0.08611125
300	225	245	0.08611125
435	200	199	0.08611125
495	235	179	0.08611125
505	215	280	0.08611125
445	130	205	0.08611125
360	200	110	0.086981061
310	240	80	0.086981061
225	170	96	0.086981061
215	190	91	0.086981061
210	155	91	0.086981061
305	185	240	0.086981061
285	180	185	0.086981061
455	215	214	0.086981061
505	280	200	0.086981061
500	280	190	0.086981061
455	135	210	0.086981061
440	130	200	0.086981061
165	190	46	0.087850871
275	180	190	0.087850871
485	240	194	0.087850871
485	240	184	0.087850871
485	200	295	0.087850871
470	205	270	0.087850871
510	300	195	0.087850871
500	280	195	0.087850871
490	295	190	0.087850871
460	135	210	0.087850871
430	135	190	0.087850871
295	195	85	0.088720682
230	170	91	0.088720682
290	210	200	0.088720682
460	250	184	0.088720682
480	205	290	0.088720682
505	300	215	0.088720682
335	225	105	0.089590493
310	190	90	0.089590493
220	180	81	0.089590493
175	195	66	0.089590493
200	190	46	0.089590493
300	230	270	0.089590493
300	225	250	0.089590493
305	225	245	0.089590493
435	195	189	0.089590493
460	215	189	0.089590493
505	200	305	0.089590493
485	200	275	0.089590493
475	210	265	0.089590493
395	235	305	0.089590493
390	245	280	0.089590493
460	215	140	0.089590493
515	305	215	0.089590493
505	280	190	0.089590493
480	135	220	0.089590493
425	135	185	0.089590493
365	195	95	0.090460303
310	220	90	0.090460303
220	185	96	0.090460303
190	155	91	0.090460303
185	190	26	0.090460303
305	195	270	0.090460303
295	185	245	0.090460303
265	190	245	0.090460303
455	195	194	0.090460303
465	195	189	0.090460303
485	245	174	0.090460303
455	225	169	0.090460303
475	305	250	0.090460303
450	220	145	0.090460303
425	160	185	0.090460303
360	200	100	0.091330114
205	155	91	0.091330114
190	150	86	0.091330114
205	200	66	0.091330114
265	180	210	0.091330114
460	200	194	0.091330114
505	285	195	0.091330114
335	195	45	0.092199925
240	165	91	0.092199925
210	150	86	0.092199925
165	195	56	0.092199925
295	180	205	0.092199925
430	195	204	0.092199925
460	250	189	0.092199925
450	235	169	0.092199925
455	200	169	0.092199925
515	305	205	0.092199925
510	290	180	0.092199925
430	135	205	0.092199925
315	235	100	0.093069735
360	195	90	0.093069735
195	165	106	0.093069735
180	160	91	0.093069735
225	165	71	0.093069735
220	180	71	0.093069735
325	190	275	0.093069735
310	190	255	0.093069735
290	180	205	0.093069735
290	175	190	0.093069735
485	235	199	0.093069735
475	305	265	0.093069735
460	210	110	0.093069735
520	300	200	0.093069735
465	135	230	0.093069735
435	145	205	0.093069735
350	205	130	0.093939546
330	195	90	0.093939546
335	185	275	0.093939546
320	185	250	0.093939546
275	185	210	0.093939546
285	175	205	0.093939546
300	180	195	0.093939546
425	200	204	0.093939546
510	205	310	0.093939546
455	215	140	0.093939546
515	300	200	0.093939546
345	190	90	0.094809356
350	195	90	0.094809356
290	195	85	0.094809356
210	150	101	0.094809356
305	185	230	0.094809356
280	200	170	0.094809356
480	205	270	0.094809356
440	305	250	0.094809356
510	305	205	0.094809356
440	130	225	0.094809356
370	200	105	0.095679167
310	235	100	0.095679167
330	190	85	0.095679167
215	155	101	0.095679167
170	190	46	0.095679167
305	230	280	0.095679167
315	185	250	0.095679167
275	175	190	0.095679167
465	135	210	0.095679167
440	145	205	0.095679167
325	230	95	0.096548978
330	190	90	0.096548978
295	190	80	0.096548978
235	165	81	0.096548978
