x	y	z	g
295	195	95	220.0907269
200	175	95	327.4689667
230	180	80	327.4689667
290	195	95	553.8472074
185	175	90	553.8472074
245	175	40	1006.603688
225	195	170	1032.981928
195	180	125	1485.738408
220	180	85	1938.494889
190	180	125	2164.873129
225	180	85	2164.873129
285	195	95	2617.629609
190	175	90	2696.764333
325	215	125	3149.520815
190	175	105	3375.899046
195	175	95	3602.277287
185	175	105	3828.655528
190	185	120	4281.412009
165	180	135	4334.168491
245	180	55	4334.168491
180	175	125	4560.546731
305	260	105	4560.546731
225	180	80	4666.059694
230	205	40	4666.059694
95	175	285	4666.059694
305	260	115	4666.059694
240	205	40	4892.437935
160	185	135	5045.194417
235	180	75	5045.194417
165	185	135	5271.572657
225	200	175	5271.572657
180	175	120	5497.950898
170	210	105	5497.950898
220	195	170	5497.950898
155	185	135	5724.329139
185	175	120	5724.329139
225	180	75	5724.329139
230	175	55	5724.329139
240	175	55	5724.329139
180	245	125	5950.70738
180	180	120	5950.70738
160	225	125	6177.085611
190	180	120	6177.085611
215	180	85	6177.085611
220	230	170	6177.085611
220	180	70	6403.463852
205	250	120	6629.842093
220	200	175	6629.842093
110	175	260	6629.842093
165	195	115	6856.220333
200	180	110	6856.220333
195	175	90	6856.220333
220	180	80	6856.220333
150	170	50	6856.220333
160	230	130	7082.598574
180	185	130	7082.598574
220	230	110	7082.598574
190	190	125	7308.976815
195	240	125	7308.976815
185	180	120	7308.976815
190	175	120	7308.976815
205	220	60	7308.976815
230	195	170	7308.976815
305	260	110	7308.976815
165	225	125	7535.355056
210	180	80	7535.355056
300	190	80	7761.733296
115	170	245	7761.733296
160	180	130	7988.111537
195	185	120	7988.111537
210	240	105	7988.111537
215	180	80	7988.111537
225	195	175	7988.111537
210	250	120	8214.489778
240	180	55	8214.489778
330	215	125	8214.489778
100	175	285	8214.489778
305	255	95	8214.489778
165	175	120	8440.868019
170	175	120	8440.868019
170	195	115	8440.868019
190	175	110	8440.868019
215	230	100	8440.868019
210	220	60	8440.868019
115	155	260	8440.868019
305	255	100	8440.868019
165	225	135	8667.246259
165	230	130	8667.246259
175	210	105	8667.246259
205	175	90	8667.246259
210	180	90	8667.246259
210	180	70	8667.246259
245	205	40	8667.246259
170	175	115	8893.6245
165	195	105	8893.6245
180	240	130	9120.002741
175	175	120	9120.002741
205	245	100	9120.002741
225	200	170	9120.002741
100	165	280	9120.002741
205	235	85	9346.380981
110	170	245	9346.380981
200	180	95	9572.759222
185	180	115	9799.137463
220	230	105	9799.137463
180	225	90	9799.137463
105	175	260	9799.137463
165	225	120	10025.5157
195	175	105	10025.5157
190	175	100	10025.5157
155	170	50	10025.5157
165	230	135	10251.89394
170	195	110	10251.89394
185	175	125	10478.27218
215	180	90	10478.27218
205	220	85	10478.27218
205	180	80	10478.27218
230	180	75	10478.27218
230	195	175	10478.27218
100	165	265	10478.27218
170	230	135	10704.65042
220	225	75	10704.65042
235	175	55	10704.65042
175	185	140	10931.02866
210	250	115	10931.02866
185	175	110	10931.02866
215	185	85	10931.02866
175	175	125	11157.4069
200	180	80	11157.4069
115	185	225	11157.4069
175	180	130	11383.78514
185	180	125	11383.78514
190	180	115	11383.78514
165	210	110	11383.78514
205	190	110	11383.78514
210	180	85	11383.78514
245	175	45	11383.78514
225	200	160	11383.78514
125	205	235	11383.78514
185	245	125	11610.16338
210	185	100	11610.16338
210	180	95	11610.16338
200	175	90	11610.16338
220	180	75	11610.16338
225	225	155	11610.16338
160	220	135	11836.54162
200	185	120	11836.54162
205	245	105	11836.54162
215	230	105	11836.54162
200	180	90	11836.54162
230	200	170	11836.54162
205	185	100	12062.91986
205	180	70	12062.91986
215	180	70	12062.91986
310	200	85	12289.2981
195	190	125	12289.2981
175	215	120	12289.2981
185	185	120	12289.2981
165	225	140	12515.67634
175	185	135	12515.67634
180	210	105	12515.67634
215	225	75	12515.67634
225	180	70	12515.67634
95	165	280	12515.67634
135	195	210	12515.67634
185	180	110	12742.05458
170	180	135	12968.43282
160	225	120	12968.43282
195	175	110	12968.43282
220	185	85	12968.43282
95	175	280	12968.43282
300	255	100	12968.43282
180	235	115	13194.81106
200	245	105	13194.81106
205	240	105	13194.81106
245	180	45	13194.81106
165	200	130	13421.18931
175	175	115	13421.18931
205	185	85	13421.18931
105	165	265	13421.18931
290	195	90	13647.56755
160	220	130	13647.56755
190	180	110	13647.56755
