x	y	z	g
295	195	85	1.064911924
200	175	95	1.08899852
230	180	80	1.08899852
185	175	90	1.113085117
290	195	85	1.113085117
245	175	40	1.118698395
250	175	155	1.142784992
195	180	125	1.14839827
220	180	85	1.154011548
190	180	125	1.178098145
225	180	85	1.178098145
285	195	85	1.183711423
190	175	90	1.186811352
175	215	190	1.19242463
190	175	105	1.216511226
195	175	95	1.240597822
185	175	105	1.264684419
190	185	120	1.270297697
165	180	135	1.275910976
245	180	55	1.275910976
180	175	125	1.299997572
225	180	80	1.30590414
230	205	40	1.30590414
65	195	180	1.30590414
240	205	40	1.329990736
160	185	135	1.335604015
235	180	75	1.335604015
165	185	135	1.359690611
250	180	160	1.359690611
180	175	120	1.383777208
170	210	105	1.383777208
245	175	155	1.383777208
155	185	135	1.407863805
185	175	120	1.407863805
225	180	75	1.407863805
230	175	55	1.407863805
240	175	55	1.407863805
180	245	125	1.431950401
180	180	120	1.431950401
185	220	215	1.431950401
160	225	125	1.456036997
190	180	120	1.456036997
215	180	85	1.456036997
245	210	155	1.456036997
220	180	70	1.480123594
185	220	210	1.480123594
205	250	120	1.50421019
80	195	155	1.50421019
245	180	160	1.50421019
165	195	115	1.528296787
200	180	110	1.528296787
195	175	90	1.528296787
220	180	80	1.528296787
160	230	130	1.552383384
180	185	130	1.552383384
220	230	110	1.552383384
190	190	125	1.57646998
195	240	125	1.57646998
185	180	120	1.57646998
190	175	120	1.57646998
205	220	60	1.57646998
255	175	155	1.57646998
170	225	215	1.57646998
165	225	125	1.600556577
210	180	80	1.600556577
150	220	230	1.600556577
85	190	140	1.624643174
300	190	70	1.624643174
160	180	130	1.64872977
195	185	120	1.64872977
210	240	105	1.64872977
215	180	80	1.64872977
250	175	160	1.64872977
210	250	120	1.672816367
240	180	55	1.672816367
70	195	180	1.672816367
155	220	230	1.672816367
180	215	190	1.672816367
165	175	120	1.696902964
170	175	120	1.696902964
170	195	115	1.696902964
190	175	110	1.696902964
215	230	100	1.696902964
210	220	60	1.696902964
85	175	155	1.696902964
165	225	135	1.72098956
165	230	130	1.72098956
175	210	105	1.72098956
205	175	90	1.72098956
210	180	90	1.72098956
210	180	70	1.72098956
245	205	40	1.72098956
170	175	115	1.745076157
165	195	105	1.745076157
180	240	130	1.769162753
175	175	120	1.769162753
205	245	100	1.769162753
70	185	175	1.769162753
250	180	155	1.769162753
135	195	225	1.769162753
175	225	215	1.769162753
205	235	85	1.79324935
80	190	140	1.79324935
200	180	95	1.817335947
185	180	115	1.841422543
220	230	105	1.841422543
180	225	90	1.841422543
75	195	155	1.841422543
140	195	225	1.841422543
165	225	120	1.86550914
195	175	105	1.86550914
190	175	100	1.86550914
165	230	135	1.889595736
170	195	110	1.889595736
185	175	125	1.913682332
215	180	90	1.913682332
205	220	85	1.913682332
205	180	80	1.913682332
230	180	75	1.913682332
70	185	160	1.913682332
255	175	160	1.913682332
170	230	135	1.937768929
220	225	75	1.937768929
235	175	55	1.937768929
175	185	140	1.961855526
210	250	115	1.961855526
185	175	110	1.961855526
215	185	85	1.961855526
150	195	225	1.961855526
175	175	125	1.985942122
200	180	80	1.985942122
85	205	120	1.985942122
175	180	130	2.010028719
185	180	125	2.010028719
190	180	115	2.010028719
165	210	110	2.010028719
205	190	110	2.010028719
210	180	85	2.010028719
245	175	45	2.010028719
95	225	130	2.010028719
250	180	145	2.010028719
185	245	125	2.034115316
210	185	100	2.034115316
210	180	95	2.034115316
200	175	90	2.034115316
220	180	75	2.034115316
250	205	140	2.034115316
160	220	135	2.058201912
200	185	120	2.058201912
205	245	105	2.058201912
215	230	105	2.058201912
200	180	90	2.058201912
255	180	155	2.058201912
160	220	225	2.058201912
180	220	210	2.058201912
205	185	100	2.082288509
205	180	70	2.082288509
215	180	70	2.082288509
165	225	220	2.082288509
195	190	125	2.106375105
175	215	120	2.106375105
185	185	120	2.106375105
310	200	75	2.106375105
165	225	140	2.130461702
175	185	135	2.130461702
180	210	105	2.130461702
215	225	75	2.130461702
225	180	70	2.130461702
65	185	175	2.130461702
105	215	105	2.130461702
160	195	225	2.130461702
185	180	110	2.154548299
170	180	135	2.178634895
160	225	120	2.178634895
195	175	110	2.178634895
220	185	85	2.178634895
65	195	175	2.178634895
180	235	115	2.202721492
200	245	105	2.202721492
205	240	105	2.202721492
245	180	45	2.202721492
155	220	225	2.202721492
170	220	205	2.202721492
165	200	130	2.226808089
175	175	115	2.226808089
205	185	85	2.226808089
75	185	160	2.226808089
160	220	230	2.226808089
160	220	130	2.250894685
190	180	110	2.250894685
185	230	100	2.250894685
210	220	80	2.250894685
235	180	55	2.250894685
290	195	80	2.250894685
165	195	225	2.250894685
170	180	130	2.274981282
170	185	130	2.274981282
160	180	125	2.274981282
205	225	100	2.274981282
185	220	95	2.274981282
65	200	180	2.274981282
90	190	140	2.274981282
100	215	105	2.274981282
180	220	215	2.274981282
160	200	130	2.299067879
170	220	125	2.299067879
175	185	125	2.299067879
210	230	120	2.299067879
215	230	110	2.299067879
245	180	40	2.299067879
190	175	115	2.323154474
205	250	115	2.323154474
205	180	90	2.323154474
220	220	80	2.323154474
255	180	145	2.323154474
280	195	85	2.323154474
180	185	140	2.347241071
155	200	125	2.347241071
195	180	110	2.347241071
240	210	55	2.347241071
170	225	140	2.371327668
170	175	125	2.371327668
165	210	115	2.371327668
175	235	115	2.371327668
210	230	110	2.371327668
210	225	100	2.371327668
190	175	95	2.371327668
200	185	85	2.371327668
105	220	120	2.371327668
285	195	80	2.371327668
185	215	205	2.371327668
165	215	130	2.395414264
195	185	125	2.395414264
200	220	60	2.395414264
310	220	65	2.395414264
140	195	230	2.395414264
180	185	125	2.419500861
195	180	120	2.419500861
210	235	115	2.419500861
180	230	100	2.419500861
165	215	205	2.419500861
150	200	140	2.443587458
175	180	120	2.443587458
205	240	100	2.443587458
220	225	90	2.443587458
235	180	60	2.443587458
65	195	165	2.443587458
295	200	90	2.443587458
170	195	180	2.443587458
195	250	120	2.467674054
165	210	105	2.467674054
240	175	45	2.467674054
80	195	145	2.467674054
240	180	160	2.467674054
145	195	225	2.467674054
185	210	175	2.467674054
165	180	130	2.491760651
200	250	120	2.491760651
210	185	105	2.491760651
230	180	50	2.491760651
255	185	165	2.491760651
245	175	160	2.491760651
190	215	205	2.491760651
195	180	90	2.515847247
225	185	85	2.515847247
250	200	25	2.515847247
70	215	175	2.515847247
160	190	225	2.515847247
155	195	225	2.515847247
170	185	135	2.539933844
215	185	105	2.539933844
215	220	80	2.539933844
255	175	145	2.539933844
165	230	140	2.564020441
185	235	115	2.564020441
195	175	100	2.564020441
210	185	85	2.564020441
70	195	155	2.564020441
180	230	230	2.564020441
165	175	125	2.588107037
165	220	125	2.588107037
185	190	125	2.588107037
195	185	100	2.588107037
170	210	95	2.588107037
205	175	70	2.588107037
75	190	145	2.588107037
250	180	140	2.588107037
165	220	135	2.612193634
180	175	115	2.612193634
200	185	115	2.612193634
175	230	110	2.612193634
240	180	65	2.612193634
235	180	50	2.612193634
80	225	180	2.612193634
80	190	145	2.612193634
255	180	160	2.612193634
295	200	125	2.612193634
175	240	130	2.636280231
200	185	100	2.636280231
215	185	95	2.636280231
220	225	95	2.636280231
250	185	155	2.636280231
200	190	115	2.660366827
205	230	110	2.660366827
220	240	95	2.660366827
230	220	80	2.660366827
210	175	70	2.660366827
80	220	155	2.660366827
185	225	230	2.660366827
175	220	205	2.660366827
180	215	195	2.660366827
190	185	125	2.684453424
165	220	120	2.684453424
170	230	110	2.684453424
195	200	110	2.684453424
85	205	125	2.684453424
160	190	215	2.684453424
180	185	135	2.708540021
145	185	130	2.708540021
175	200	130	2.708540021
180	180	115	2.708540021
175	195	110	2.708540021
215	240	105	2.708540021
215	225	90	2.708540021
80	225	155	2.708540021
175	220	210	2.708540021
160	215	130	2.732626617
190	220	120	2.732626617
165	220	115	2.732626617
165	220	110	2.732626617
205	185	105	2.732626617
190	190	100	2.732626617
180	220	95	2.732626617
210	225	90	2.732626617
170	190	210	2.732626617
170	185	140	2.756713213
210	220	85	2.756713213
210	215	70	2.756713213
85	220	135	2.756713213
105	210	90	2.756713213
175	190	210	2.756713213
170	215	120	2.78079981
195	220	120	2.78079981
200	195	95	2.78079981
90	205	120	2.78079981
155	185	205	2.78079981
180	210	175	2.78079981
165	225	130	2.804886406
205	230	120	2.804886406
195	185	115	2.804886406
210	230	105	2.804886406
305	200	75	2.804886406
165	190	215	2.804886406
155	190	215	2.804886406
180	215	120	2.828973003
210	230	115	2.828973003
170	210	110	2.828973003
210	230	100	2.828973003
225	220	80	2.828973003
205	185	120	2.853059599
165	195	110	2.853059599
195	200	105	2.853059599
175	210	100	2.853059599
180	220	205	2.853059599
170	215	205	2.853059599
180	180	110	2.877146196
195	180	95	2.877146196
220	185	95	2.877146196
225	205	40	2.877146196
170	225	135	2.901232793
180	190	135	2.901232793
190	180	100	2.901232793
80	190	150	2.901232793
110	215	105	2.901232793
170	225	220	2.901232793
190	200	110	2.925319389
190	180	95	2.925319389
70	210	160	2.925319389
290	195	90	2.925319389
175	200	190	2.925319389
165	180	125	2.949405986
210	255	115	2.949405986
205	185	110	2.949405986
175	230	105	2.949405986
185	190	100	2.949405986
255	205	140	2.949405986
170	180	125	2.973492583
210	240	115	2.973492583
170	195	105	2.973492583
220	190	100	2.973492583
80	220	150	2.973492583
95	205	110	2.973492583
170	235	140	2.997579179
190	245	125	2.997579179
180	180	105	2.997579179
205	180	95	2.997579179
240	180	45	2.997579179
85	190	130	2.997579179
155	220	135	3.021665776
195	190	115	3.021665776
200	185	110	3.021665776
190	185	100	3.021665776
275	200	95	3.021665776
160	190	220	3.021665776
175	235	140	3.045752373
180	220	125	3.045752373
195	185	110	3.045752373
210	190	110	3.045752373
220	235	80	3.045752373
205	230	115	3.069838969
210	245	105	3.069838969
180	210	100	3.069838969
185	180	100	3.069838969
200	235	85	3.069838969
205	175	85	3.069838969
85	210	135	3.069838969
275	220	80	3.069838969
295	195	80	3.069838969
330	195	35	3.069838969
175	185	130	3.093925566
185	175	115	3.093925566
215	190	105	3.093925566
75	195	180	3.093925566
70	195	160	3.093925566
80	180	145	3.093925566
165	190	220	3.093925566
200	220	85	3.118012163
235	180	65	3.118012163
85	180	140	3.118012163
250	175	145	3.118012163
300	195	75	3.118012163
185	225	140	3.142098759
210	245	120	3.142098759
190	240	115	3.142098759
215	245	105	3.142098759
225	215	70	3.142098759
105	215	120	3.142098759
170	200	130	3.166185356
165	235	125	3.166185356
200	240	100	3.166185356
185	225	95	3.166185356
190	220	95	3.166185356
190	180	90	3.166185356
90	205	125	3.166185356
290	200	95	3.166185356
185	210	105	3.190271953
185	180	95	3.190271953
200	175	85	3.190271953
235	220	85	3.190271953
150	195	230	3.190271953
170	220	210	3.190271953
175	215	205	3.190271953
160	205	140	3.214358548
170	220	135	3.214358548
200	180	70	3.214358548
250	210	155	3.214358548
285	200	95	3.214358548
195	240	115	3.238445145
210	195	115	3.238445145
195	240	100	3.238445145
205	180	85	3.238445145
95	205	125	3.238445145
150	195	135	3.262531741
160	220	125	3.262531741
235	180	40	3.262531741
65	195	160	3.262531741
85	230	150	3.262531741
305	190	70	3.262531741
175	190	205	3.262531741
160	185	205	3.262531741
190	215	170	3.262531741
155	225	130	3.286618338
170	220	115	3.286618338
200	175	70	3.286618338
200	215	65	3.286618338
90	190	130	3.286618338
250	185	165	3.286618338
255	185	155	3.286618338
255	180	140	3.286618338
160	225	135	3.310704935
165	220	130	3.310704935
165	225	115	3.310704935
180	230	105	3.310704935
220	225	105	3.310704935
205	230	100	3.310704935
175	225	95	3.310704935
210	225	75	3.310704935
240	180	40	3.310704935
175	225	140	3.334791531
155	200	130	3.334791531
180	190	105	3.334791531
210	185	95	3.334791531
195	180	80	3.334791531
225	225	75	3.334791531
