x	y	z	g
330	185	235	8.122210345
335	185	235	8.482037486
450	195	235	8.723752435
230	180	220	9.322549239
420	175	235	9.322549239
445	195	235	9.921346046
240	185	235	10.52014285
245	175	180	11.11893966
345	180	215	11.11893966
250	175	195	11.71773646
340	190	240	12.31653327
225	180	225	13.03618755
340	180	210	13.63498435
240	195	95	14.23378116
340	190	250	14.23378116
240	185	225	14.83257797
250	180	210	14.83257797
215	190	100	15.43137478
215	185	90	16.62896839
235	180	210	16.62896839
240	180	210	16.62896839
335	185	225	16.62896839
365	215	55	17.2277652
215	190	105	17.2277652
340	190	245	17.2277652
340	185	235	17.2277652
350	245	100	17.82656198
350	220	75	17.82656198
330	185	230	17.82656198
340	180	215	17.82656198
415	175	235	18.42535879
185	230	130	19.0241556
235	185	230	19.0241556
285	245	270	19.0241556
245	190	245	19.6229524
340	185	225	19.6229524
240	185	230	20.22174921
215	185	85	20.82054602
245	190	250	20.82054602
245	180	215	20.82054602
345	250	105	21.41934282
240	180	215	21.41934282
245	180	195	21.41934282
340	250	105	22.01813963
235	185	235	22.01813963
335	190	250	22.01813963
290	225	95	22.01813963
220	185	85	22.61693644
330	185	225	22.61693644
335	190	255	23.21573325
240	190	245	23.81453005
235	185	225	23.81453005
235	190	240	24.41332686
225	180	220	24.41332686
315	205	180	24.41332686
195	205	40	25.01212367
220	190	105	25.61092047
220	185	90	25.61092047
230	180	210	25.61092047
425	220	210	25.61092047
235	180	215	26.20971728
245	180	210	26.20971728
250	180	200	26.80851409
340	185	230	26.80851409
350	235	115	27.4073109
250	180	215	27.4073109
245	175	195	27.4073109
240	190	250	28.0061077
225	180	215	28.0061077
230	175	195	28.0061077
240	175	195	28.0061077
355	220	80	28.60490451
200	210	55	29.20370129
230	185	230	29.20370129
230	185	225	29.20370129
335	190	245	29.20370129
345	245	100	29.8024981
345	245	95	29.8024981
355	220	75	29.8024981
220	180	210	29.8024981
235	190	245	30.40129491
245	180	200	30.40129491
220	180	220	31.00009171
335	185	230	31.00009171
165	245	100	31.59888852
240	190	240	31.59888852
305	230	250	31.59888852
335	190	240	31.59888852
370	225	80	32.19768533
290	220	200	32.19768533
340	175	195	32.19768533
390	220	95	32.79648213
165	240	105	33.99407575
230	190	240	33.99407575
215	180	220	33.99407575
250	175	200	33.99407575
340	245	95	34.59287256
385	220	95	34.59287256
360	215	55	34.59287256
225	190	240	34.59287256
240	180	195	34.59287256
300	230	240	35.19166936
345	180	210	35.19166936
295	220	200	35.19166936
390	245	240	35.19166936
200	205	40	35.79046617
210	180	210	35.79046617
355	210	245	35.79046617
195	220	85	36.38926298
355	230	105	36.98805978
405	195	90	36.98805978
365	225	80	36.98805978
160	245	100	36.98805978
250	180	195	36.98805978
335	195	260	36.98805978
160	235	85	37.58685659
240	195	260	37.58685659
400	195	90	38.78445021
245	190	255	38.78445021
180	225	230	38.78445021
305	230	245	38.78445021
330	190	240	38.78445021
205	225	105	39.38324701
410	175	240	39.38324701
225	190	115	40.5808406
205	220	225	40.5808406
230	180	215	40.5808406
255	175	200	40.5808406
235	195	125	41.17963741
175	225	75	41.17963741
235	175	195	41.17963741
295	225	95	41.17963741
390	195	90	41.77843422
215	185	225	41.77843422
295	250	255	41.77843422
240	195	255	42.37723102
230	195	125	42.97602783
200	220	85	42.97602783
245	175	185	42.97602783
250	180	185	42.97602783
305	230	255	42.97602783
175	240	115	43.57482464
205	205	40	43.57482464
230	185	235	43.57482464
220	180	215	43.57482464
305	230	240	43.57482464
380	220	90	44.17362144
360	220	75	44.17362144
180	230	130	44.17362144
235	195	255	44.17362144
310	230	255	44.17362144
315	225	250	44.17362144
290	245	245	44.17362144
300	230	245	44.17362144
340	180	195	44.17362144
285	225	105	44.17362144
345	235	115	44.77241825
375	225	85	44.77241825
180	240	115	44.77241825
245	195	260	44.77241825
205	180	210	44.77241825
215	180	210	44.77241825
400	230	245	44.77241825
285	225	95	44.77241825
230	195	95	45.37121506
320	225	245	45.37121506
170	255	115	45.97001187
225	215	85	45.97001187
230	190	245	45.97001187
225	180	210	45.97001187
185	215	205	45.97001187
300	225	215	45.97001187
360	210	245	45.97001187
220	185	225	47.16760548
385	245	240	47.16760548
385	220	90	47.76640229
370	220	70	47.76640229
210	220	80	47.76640229
245	180	185	47.76640229
295	245	265	47.76640229
290	240	245	47.76640229
300	225	240	47.76640229
380	220	95	48.36519909
205	185	225	48.36519909
420	220	210	48.36519909
375	225	105	48.9639959
350	220	80	48.9639959
